Freq.	abs(V(drain))
1.01766797822304e+07	1.07675362744711e+01,0.00000000000000e+00
1.01771563480888e+07	1.07682302634006e+01,0.00000000000000e+00
1.01776329362644e+07	1.07689243172952e+01,0.00000000000000e+00
1.01781095467583e+07	1.07696184361641e+01,0.00000000000000e+00
1.01785861795715e+07	1.07703126200162e+01,0.00000000000000e+00
1.01790628347050e+07	1.07710068688608e+01,0.00000000000000e+00
1.01795395121599e+07	1.07717011827069e+01,0.00000000000000e+00
1.01800162119372e+07	1.07723955615636e+01,0.00000000000000e+00
1.01804929340380e+07	1.07730900054401e+01,0.00000000000000e+00
1.01809696784633e+07	1.07737845143454e+01,0.00000000000000e+00
1.01814464452142e+07	1.07744790882887e+01,0.00000000000000e+00
1.01819232342917e+07	1.07751737272792e+01,0.00000000000000e+00
1.01824000456969e+07	1.07758684313259e+01,0.00000000000000e+00
1.01828768794307e+07	1.07765632004378e+01,0.00000000000000e+00
1.01833537354943e+07	1.07772580346242e+01,0.00000000000000e+00
1.01838306138887e+07	1.07779529338941e+01,0.00000000000000e+00
1.01843075146149e+07	1.07786478982569e+01,0.00000000000000e+00
1.01847844376740e+07	1.07793429277215e+01,0.00000000000000e+00
1.01852613830671e+07	1.07800380222971e+01,0.00000000000000e+00
1.01857383507951e+07	1.07807331819927e+01,0.00000000000000e+00
1.01862153408591e+07	1.07814284068175e+01,0.00000000000000e+00
1.01866923532602e+07	1.07821236967808e+01,0.00000000000000e+00
1.01871693879994e+07	1.07828190518915e+01,0.00000000000000e+00
1.01876464450778e+07	1.07835144721589e+01,0.00000000000000e+00
1.01881235244964e+07	1.07842099575920e+01,0.00000000000000e+00
1.01886006262562e+07	1.07849055082001e+01,0.00000000000000e+00
1.01890777503583e+07	1.07856011239922e+01,0.00000000000000e+00
1.01895548968038e+07	1.07862968049775e+01,0.00000000000000e+00
1.01900320655936e+07	1.07869925511652e+01,0.00000000000000e+00
1.01905092567289e+07	1.07876883625644e+01,0.00000000000000e+00
1.01909864702107e+07	1.07883842391843e+01,0.00000000000000e+00
1.01914637060400e+07	1.07890801810339e+01,0.00000000000000e+00
1.01919409642179e+07	1.07897761881224e+01,0.00000000000000e+00
1.01924182447454e+07	1.07904722604593e+01,0.00000000000000e+00
1.01928955476236e+07	1.07911683980532e+01,0.00000000000000e+00
1.01933728728535e+07	1.07918646009136e+01,0.00000000000000e+00
1.01938502204361e+07	1.07925608690496e+01,0.00000000000000e+00
1.01943275903726e+07	1.07932572024703e+01,0.00000000000000e+00
1.01948049826639e+07	1.07939536011850e+01,0.00000000000000e+00
1.01952823973112e+07	1.07946500652027e+01,0.00000000000000e+00
1.01957598343153e+07	1.07953465945326e+01,0.00000000000000e+00
1.01962372936775e+07	1.07960431891840e+01,0.00000000000000e+00
1.01967147753987e+07	1.07967398491659e+01,0.00000000000000e+00
1.01971922794800e+07	1.07974365744877e+01,0.00000000000000e+00
1.01976698059225e+07	1.07981333651584e+01,0.00000000000000e+00
1.01981473547271e+07	1.07988302211871e+01,0.00000000000000e+00
1.01986249258950e+07	1.07995271425831e+01,0.00000000000000e+00
1.01991025194271e+07	1.08002241293555e+01,0.00000000000000e+00
